Wed Apr 17 15:43:54 2024    profile_stats.prof

         387255327 function calls (336738144 primitive calls) in 106.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:3314(tick_params)
     1166    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      124    0.000    0.000    0.001    0.000 {method 'sum' of 'numpy.ndarray' objects}
      869    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.001    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/traitlets.py:969(__init__)
      484    0.000    0.000    0.001    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/scale.py:115(get_transform)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/traitlets.py:996(setup_class)
       96    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2604(ptp)
       42    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/legend.py:1144(<genexpr>)
      144    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:438(set_transform)
      193    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
      510    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:1256(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:2809(autoscale_view)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:406(_plot_args)
       42    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/inspect.py:3040(bind)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
  277/122    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/abc.py:121(__subclasscheck__)
       28    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/path.py:653(intersects_bbox)
      322    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1314(is_math_text)
       14    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/ticker.py:2010(_validate_steps)
     3081    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:1074(__iter__)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backend_bases.py:1575(_get_renderer)
      305    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2417(transform_non_affine)
       42    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/inspect.py:2909(_bind)
       76    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:430(__enter__)
     1045    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       57    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:1052(set_color)
  277/122    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      134    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:1048(set_visible)
      126    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1109(get_points)
       49    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/lib/shape_base.py:612(column_stack)
      178    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:729(set_style)
      318    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1765(<dictcomp>)
       47    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/lib/stride_tricks.py:480(broadcast_arrays)
      124    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/_methods.py:47(_sum)
      139    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:737(set_figure)
      321    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:271(convert_xunits)
     2694    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1039(get_points)
      613    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1206(set_y)
      103    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/_api/__init__.py:134(check_shape)
      566    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/re.py:289(_compile)
       29    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
     4436    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:295(axes)
       61    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:1159(update_from)
        9    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:505(_apply_tickdir)
       37    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:236(_deepcopy_method)
       40    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:76(_get_packed_offsets)
      117    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2046(scale)
       23    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/patches.py:876(get_bbox)
       24    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:348(update_from)
      597    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/enum.py:358(__call__)
       82    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:929(_set_gc_clip)
       15    0.000    0.000    0.000    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       29    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/_methods.py:61(_all)
       30    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2764(get_transformed_points_and_affine)
      252    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       58    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1607(transform_path_non_affine)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:2868(handle_single_axis)
      116    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:1082(score_family)
       11    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/formatters.py:373(lookup)
      156    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:379(bounds)
       28    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.path_intersects_rectangle}
     1175    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       15    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/pathlib.py:1079(__new__)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:2323(_update_line_limits)
      103    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/path.py:202(_update_values)
       96    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/_methods.py:281(_ptp)
      105    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/getlimits.py:581(tiny)
      419    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1195(set_x)
       14    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:550(_get_data_path)
      128    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/config/configurable.py:123(section_names)
      130    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/markers.py:302(_set_fillstyle)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/legend_handler.py:87(update_prop)
  589/325    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2405(<lambda>)
       30    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:697(_transform_path)
       82    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backend_bases.py:928(set_clip_path)
       16    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/pathlib.py:702(_from_parts)
       57    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:1137(set_linestyle)
       96    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nonzero)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/traitlets.py:974(setup_class)
      171    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:1196(_set_markercolor)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       66    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1098(set_fontsize)
      249    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:715(set_family)
       32    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2751(_revalidate)
        3    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:4297(get_default_bbox_extra_artists)
       22    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/patches.py:343(_set_facecolor)
       42    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(cumsum)
      178    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:742(set_variant)
      494    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/config/loader.py:218(_is_section_key)
        8    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/config/configurable.py:522(instance)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/legend_handler.py:78(_update_prop)
       17    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/pathlib.py:682(_parse_args)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/pylabtools.py:344(activate_matplotlib)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/legend_handler.py:84(_default_update_prop)
     4854    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      105    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/getlimits.py:558(smallest_normal)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:3082(title)
       40    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:157(_get_aligned_offsets)
       31    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2323(blended_transform_factory)
    76/72    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/spines.py:332(get_spine_transform)
      580    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2126(transform)
       10    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/inspect.py:3111(signature)
      128    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/config/configurable.py:126(<listcomp>)
      178    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2214(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/PIL/GifImagePlugin.py:27(<module>)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:544(<listcomp>)
        4    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:537(<genexpr>)
      272    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1327(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/formatters.py:57(_default_formatter)
       10    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/inspect.py:2859(from_callable)
      388    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1350(_iter_break_from_left_to_right)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:347(_makeline)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/jupyter_client/session.py:752(send)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_axes.py:104(set_title)
    13/10    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/inspect.py:2246(_signature_from_callable)
       14    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:270(_get_xy_display)
       18    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       76    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:435(__exit__)
       62    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1827(frozen)
       69    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1030(set_linespacing)
     1716    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:845(<genexpr>)
       32    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:784(frozen)
       68    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
      116    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:1158(score_weight)
       90    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:342(_set_artist_props)
     1442    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1921(get_matrix)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/patches.py:689(__init__)
        9    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1663(update_units)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(isin)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/_tight_bbox.py:8(adjust_bbox)
       42    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/fromnumeric.py:2523(cumsum)
      116    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:1140(score_stretch)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:790(set_subplotspec)
     18/9    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/units.py:164(get_converter)
        3    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/lib/arraysetops.py:766(isin)
      320    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:283(convert_yunits)
       29    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2281(__init__)
       48    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1184(set_position)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      135    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1249(set_verticalalignment)
      296    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:352(intervaly)
     6164    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/Bio/Phylo/BaseTree.py:77(match)
       17    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/pathlib.py:64(parse_parts)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/offsetbox.py:718(__init__)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(in1d)
      193    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3152(ndim)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
       12    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/decorator.py:199(fix)
        3    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/lib/arraysetops.py:524(in1d)
   132/68    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2376(_invalidate_internal)
      236    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2254(get_affine)
        3    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:4326(<listcomp>)
       32    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:712(_get_transformed_path)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/jupyter_client/session.py:688(serialize)
       68    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1721(convert_units)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       14    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/patches.py:350(set_facecolor)
      265    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:687(_get_wrapped_text)
       18    0.000    0.000    0.000    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       81    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/traitlets.py:731(_validate)
        5    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:1876(apply_aspect)
       28    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:1832(_set_formatter)
       96    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1892(nonzero)
    83/45    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:917(get_xaxis_transform)
      336    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:451(get_transform)
      152    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/_ufunc_config.py:132(geterr)
       13    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/traitlets.py:1882(traits)
       42    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:1117(set_zorder)
    83/45    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:997(get_yaxis_transform)
       96    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/ticker.py:1942(le)
       32    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2736(__init__)
        6    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:1134(_set_position)
       58    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/lines.py:718(set_transform)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/pylabtools.py:266(<listcomp>)
       98    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        7    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axes/_base.py:2510(_process_unit_info)
      390    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:209(<lambda>)
       88    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/path.py:162(_fast_from_codes_and_verts)
      566    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      194    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/font_manager.py:755(set_weight)
      926    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1265(set_text)
       96    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/numpy/core/_methods.py:108(_clip_dep_invoke_with_casting)
       28    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:333(min)
       10    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/formatters.py:511(pop)
       76    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1217(set_rotation)
        2    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/traitlets/traitlets.py:276(getmembers)
      137    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/text.py:1000(set_horizontalalignment)
      380    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:2597(get_matrix)
        1    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/gridspec.py:657(get_position)
       24    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/artist.py:866(_fully_clipped_to_axes)
       97    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:1864(inverted)
       12    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/formatters.py:396(lookup_by_type)
       32    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/transforms.py:246(frozen)
       68    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/units.py:56(_is_natively_supported)
        9    0.000    0.000    0.000    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/axis.py:438(_get_text1_transform)
