Wed Apr 17 15:43:54 2024    profile_stats.prof

         387255327 function calls (336738144 primitive calls) in 106.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.182    0.182 /home/ganesank/project/phytclust/phytclust/phytclust.py:336(find_peaks)
        1    0.000    0.000    0.182    0.182 /home/ganesank/project/phytclust/phytclust/plotting.py:518(plot_peaks)
        1    0.000    0.000    0.155    0.155 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/pyplot.py:401(show)
        1    0.000    0.000    0.155    0.155 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib_inline/backend_inline.py:72(show)
        1    0.000    0.000    0.155    0.155 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/display_functions.py:105(display)
        1    0.000    0.000    0.153    0.153 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/formatters.py:90(format)
       12    0.000    0.000    0.153    0.013 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/decorator.py:229(fun)
       12    0.000    0.000    0.153    0.013 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/formatters.py:219(catch_format_error)
        9    0.000    0.000    0.152    0.017 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/formatters.py:330(__call__)
        1    0.000    0.000    0.152    0.152 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/IPython/core/pylabtools.py:111(print_figure)
        1    0.000    0.000    0.152    0.152 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/site-packages/matplotlib/backend_bases.py:2241(print_figure)
107033/38    0.061    0.000    0.140    0.004 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:128(deepcopy)
  6313/38    0.017    0.000    0.140    0.004 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:226(_deepcopy_dict)
 6976/812    0.012    0.000    0.140    0.000 /home/ganesank/ENTER/envs/medicc_env/lib/python3.9/copy.py:258(_reconstruct)
